TAG DATABASE: PHYSICAL & APPEARANCE
========================================
Total tags: 4354
Categories: 16
Last updated: 2026-02-26

================================================================================
SPECIES & BODY TYPE
================================================================================
african_wild_dog | Painted dog species | species:canid
gold_belt | Gold-coloured belt | clothing:general
gold_bikini | Gold-coloured bikini | clothing:general
gold_bra | Gold-coloured bra | clothing:general
gold_bracelet | Gold-coloured bracelet | clothing:general
gold_buttons | Gold buttons | clothing:general
gold_choker | Gold-coloured choker | clothing:general
gold_circlet | Gold circlet | clothing:general
gold_crown | Gold-coloured crown | clothing:general
gold_ear_ring | Gold ear ring | clothing:general
gold_earrings | Gold-coloured earrings | clothing:general
gold_hairband | Gold-coloured hairband | hair:style
gold_jewelry | Gold jewelry | clothing:general
gold_necklace | Gold-coloured necklace | clothing:general
gold_piercing | Gold-coloured piercing | clothing:general
gold_ring | Gold-coloured ring | clothing:general
gold_shoes | Gold-coloured shoes | clothing:general
gold_thighlet | Gold thighlet | clothing:general
gold_tiara | Gold-coloured tiara | clothing:general
gold_tooth | Gold tooth | clothing:general
gold_trim | Gold trim | clothing:general
goldfish | Goldfish species | species:fish
grabbing_another's_ass | Grabbing another's ass | anatomy:rear
grabbing_another's_breast | Grabbing another's breast | anatomy:torso
grabbing_another's_penis | A character's hand seizing another's penis, whether firm or stroking. | genitalia:male
grabbing_own_ass | Grabbing own ass | anatomy:rear
grabbing_own_breast | Grabbing own breast | anatomy:torso
gradient_horns | Gradient horns | head:general
gradient_penis | A penis rendered with a colour gradient from base to tip. | genitalia:male
gradient_tail | Gradient tail | anatomy:tail
gradient_wings | Wings with a colour gradient from base to tip or top to bottom. | anatomy:fantasy
grass_skirt | Grass skirt | clothing:general
green_balls | Testicles rendered in green, the colour the noted variant. | genitalia:male
green_claws | Green-coloured claws | anatomy:limbs
green_clothing | Green-coloured clothing | clothing:general
green_coat | Green-coloured coat | coat:colour
green_horn | Green-coloured horn | head:general
green_horns | Green-coloured horns | head:general
green_nipples | Green-coloured nipples | anatomy:torso
green_pawpads | Green-coloured pawpads | anatomy:limbs
green_penis | A penis rendered in green, the colour the noted variant. | genitalia:male
green_shorts | Green-coloured shorts | clothing:general
green_spots | Green-coloured spots | coat:pattern
green_stripes | Green-coloured stripes | coat:pattern
green_sweater | Green-coloured sweater | clothing:general
green_sweater_vest | Green sweater vest | clothing:general
green_tail | Green-coloured tail | anatomy:tail
green_thighhighs | Green-coloured thighhighs | clothing:general
green_vulva | A vulva rendered in green, the colour the noted variant. | genitalia:female
green_wings | Wings coloured green, the feather or membrane rendered in green tone. | anatomy:fantasy
grey_balls | Testicles rendered in grey, the colour the noted variant. | genitalia:male
grey_breasts | Grey-coloured breasts | anatomy:torso
grey_claws | Grey-coloured claws | anatomy:limbs
grey_clothing | Grey-coloured clothing | clothing:general
grey_coat | Grey-coloured coat | coat:colour
grey_feathers | Grey-coloured feathers | coat:colour
grey_horn | Grey-coloured horn | head:general
grey_horns | Grey-coloured horns | head:general
grey_nipples | Grey-coloured nipples | anatomy:torso
grey_pawpads | Grey-coloured pawpads | anatomy:limbs
grey_penis | A penis rendered in grey, the colour the noted variant. | genitalia:male
grey_scales | Grey-coloured scales | coat:colour
grey_sheath | A genital sheath rendered in grey, the colour the noted variant. | genitalia:male
grey_shorts | Grey-coloured shorts | clothing:general
grey_spots | Grey-coloured spots | coat:pattern
grey_stripes | Grey-coloured stripes | coat:pattern
grey_sweater | Grey-coloured sweater | clothing:general
grey_sweater_vest | Grey sweater vest | clothing:general
grey_tail | Grey-coloured tail | anatomy:tail
grey_thighhighs | Grey-coloured thighhighs | clothing:general
grey_vulva | A vulva rendered in grey, the colour the noted variant. | genitalia:female
grey_wings | Wings coloured grey, the feather or membrane rendered in neutral tone. | anatomy:fantasy
gym_shorts | Gym shorts | clothing:general
gynomorph_anthro | An anthro character with gynomorph (feminine intersex) anatomy, mixed genitals on a furry body. | species:other
gynomorph_on_feral | A gynomorph character with a feral partner, the species and anatomy framing. | species:other
hair_between_breasts | Hair between breasts | anatomy:torso
hair_between_horns | Hair between horns | head:general
hair_flowing_over | Hair flowing over | hair:style
hair_horns | Hair horns | head:general
hair_on_horn | Hair on horn | head:general
hair_over_breasts | Hair over breasts | anatomy:torso
hair_wings | Wings made of or emerging from the character's hair, fantasy anatomy. | anatomy:fantasy
hairless_tail | Hairless tail | anatomy:tail
hairy_balls | Testicles with notable hair or fuzz, the body hair on the sack emphasised. | genitalia:male
hairy_vulva | A vulva with visible pubic hair, natural growth the feature. | genitalia:female
hakama_short_skirt | Hakama short skirt | clothing:general
hakama_shorts | Hakama shorts | clothing:general
hand_on_another's_ass | Hand on another's ass | anatomy:rear
hand_on_another's_breast | Hand on another's breast | anatomy:torso
hand_on_another's_butt | Hand on another's butt | anatomy:rear
hand_on_another's_chest | Hand on another's chest | anatomy:torso
hand_on_another's_hip | Hand on another's hip | anatomy:limbs
hand_on_another's_thigh | Hand on another's thigh | anatomy:limbs
hand_on_balls | A hand cupping or touching testicles, whether one's own or a partner's. | genitalia:male
hand_on_own_ass | Hand on own ass | anatomy:rear
hand_on_own_breast | Hand on own breast | anatomy:torso
hand_on_own_chest | Hand on own chest | anatomy:torso
hand_on_own_hip | Hand on own hip | anatomy:limbs
hand_on_own_penis | A character's hand on their own penis, self-touch framing. | genitalia:male
hand_on_own_thigh | Hand on own thigh | anatomy:limbs
hand_on_vulva | A hand resting or pressing against the vulva, palm cupped over the genitals. | genitalia:female
handpaw | Handpaw | anatomy:limbs
hands_on_another's_ass | Hands on another's ass | anatomy:rear
hands_on_another's_chest | Hands on another's chest | anatomy:torso
hands_on_another's_hips | Hands on another's hips | anatomy:limbs
hands_on_another's_thighs | Hands on another's thighs | anatomy:limbs
hands_on_own_ass | Hands on own ass | anatomy:rear
hands_on_own_chest | Hands on own chest | anatomy:torso
hands_on_own_hips | Hands on own hips | anatomy:limbs
hands_on_own_thighs | Hands on own thighs | anatomy:limbs
hands_on_thighs | Hands on thighs | anatomy:limbs
hanging_breasts | Hanging breasts | anatomy:torso
hat_feather | Hat feather | clothing:general
hat_tassel | Hat tassel | clothing:general
head_feathers | Head feathers | coat:colour
head_horn | Head horn | head:general
head_on_chest | Head on chest | anatomy:torso
heart_clothing | Heart clothing | clothing:general
heart_on_chest | Heart on chest | anatomy:torso
heart_tail | Heart tail | anatomy:tail
high-visibility_clothing | High-visibility clothing | clothing:general
high-waist_shorts | High-waist shorts | clothing:general
high_ponytail | High ponytail | hair:style
high_side_ponytail | High side ponytail | hair:style
hip_bones | Hip bones | anatomy:internal
hip_dips | Hip dips | anatomy:limbs
hip_focus | Hip focus | anatomy:limbs
hip_sway | Hip sway | anatomy:limbs
hip_tattoo | Hip tattoo | anatomy:limbs
hip_tuft | Hip tuft | anatomy:limbs
hip_vent | Hip vent | anatomy:limbs
hiphighs | Hiphighs | clothing:general
hippopotamid | A member of the hippo family, formal taxonomy term for hippo-derived anthros. | species:other
holding_another's_arm | Holding another's arm | anatomy:limbs
holding_another's_hair | Holding another's hair | hair:colour
holding_another's_leg | Holding another's leg | anatomy:limbs
holding_another's_penis | A character gripping another's penis, holding rather than stroking. | genitalia:male
holding_arm | Holding arm | anatomy:limbs
holding_bag | Holding bag | clothing:general
holding_bass_guitar | Holding bass guitar (species-related) | species:fish
holding_behind_back | Holding behind back | anatomy:torso
holding_belly | Holding belly | anatomy:torso
holding_bra | Holding bra | clothing:general
holding_cat | Holding cat (species-related) | species:felid
holding_clothes_hanger | Holding clothes hanger | clothing:general
holding_clothing | Holding clothing | clothing:general
holding_creature | A character holding another creature in hand, scale and species difference in the framing. | species:other
holding_dog | Holding dog (species-related) | species:canid
holding_fish | Holding fish (species-related) | species:fish
holding_hat | Holding hat | clothing:general
holding_jacket | Holding jacket | clothing:general
holding_legs | Holding legs | anatomy:limbs
holding_mask | Holding mask | clothing:general
holding_necklace | Holding necklace | clothing:general
holding_own_dress | Holding own dress | clothing:general
holding_own_hair | Holding own hair | hair:colour
holding_own_leg | Holding own leg | anatomy:limbs
holding_own_penis | A character gripping their own penis, displayed rather than stroked. | genitalia:male
holding_own_skirt | Holding own skirt | clothing:general
holding_own_tail | Holding own tail | anatomy:tail
holding_panties | Holding panties | clothing:general
holding_pastry_bag | Holding pastry bag | clothing:general
holding_sheath | A character's hand holding the genital sheath, whether own or partner's. | genitalia:male
holding_shirt | Holding shirt | clothing:general
holding_shoes | Holding shoes | clothing:general
holding_skull | Holding skull | anatomy:internal
holding_swim_ring | Holding swim ring | clothing:general
holding_swimsuit | Holding swimsuit | clothing:general
holding_sword_behind_back | Holding sword behind back | anatomy:torso
holding_tail | Holding tail | anatomy:tail
holding_underwear | Holding underwear | clothing:general
holding_unworn_clothes | Holding unworn clothes | clothing:general
holding_unworn_hat | Holding unworn hat | clothing:general
holding_unworn_helmet | Holding unworn helmet | clothing:general
holding_weapon_behind_back | Holding weapon behind back | anatomy:torso
holding_with_feet | Holding with feet | anatomy:limbs
holding_with_tail | Holding with tail | anatomy:tail
hole_in_chest | Hole in chest | anatomy:torso
hooded_coat | Hooded coat | coat:colour
hooded_sweater | Hooded sweater | clothing:general
horizontal_cloaca | Horizontal cloaca | anatomy:general
horn_accessory | Horn accessory | head:general
horn_flower | Horn flower | head:general
horn_hairband | Horn hairband | hair:style
horn_jewelry | Horn jewelry | head:general
horn_ornament | Horn ornament | head:general
horn_piercing | Horn piercing | clothing:general
horn_ribbon | Horn ribbon | head:general
horn_ring | Horn ring | clothing:general
horned_hat | Horned hat | clothing:general
horned_headwear | Horned headwear | head:general
horned_helmet | Horned helmet | clothing:general
horned_humanoid | A humanoid with horns, the horns the only non-human feature or one of few. | species:other
horned_mask | Horned mask | clothing:general
horned_owl | Horned owl (species-related) | species:avian
horns_through_headwear | Horns through headwear | head:general
horse_penis | An equine penis with medial ring, flared head, and long tapering shaft. | genitalia:male
horse_tail | Horse-style tail | anatomy:tail
