TAG DATABASE: PHYSICAL & APPEARANCE
========================================
Total tags: 4354
Categories: 16
Last updated: 2026-02-26

================================================================================
SPECIES & BODY TYPE
================================================================================
african_wild_dog | Painted dog species
holding_detached_head | imported from e621 (e621 cat 0)
holding_dildo | imported from e621 (e621 cat 0)
holding_dog | imported from e621 (e621 cat 0)
holding_doll | imported from e621 (e621 cat 0)
holding_donut | imported from e621 (e621 cat 0)
holding_drink | imported from e621 (e621 cat 0)
holding_drumsticks | imported from e621 (e621 cat 0)
holding_dumbbell | imported from e621 (e621 cat 0)
holding_egg | imported from e621 (e621 cat 0)
holding_envelope | imported from e621 (e621 cat 0)
holding_face | imported from e621 (e621 cat 0)
holding_fan | imported from e621 (e621 cat 0)
holding_feather | imported from e621 (e621 cat 0)
holding_fireworks | imported from e621 (e621 cat 0)
holding_fish | imported from e621 (e621 cat 0)
holding_fishing_rod | imported from e621 (e621 cat 0)
holding_flag | imported from e621 (e621 cat 0)
holding_flashlight | imported from e621 (e621 cat 0)
holding_flask | imported from e621 (e621 cat 0)
holding_flower_pot | imported from e621 (e621 cat 0)
holding_flute | imported from e621 (e621 cat 0)
holding_food | imported from e621 (e621 cat 0)
holding_fork | imported from e621 (e621 cat 0)
holding_fruit | imported from e621 (e621 cat 0)
holding_frying_pan | imported from e621 (e621 cat 0)
holding_game_controller | imported from e621 (e621 cat 0)
holding_gem | imported from e621 (e621 cat 0)
holding_gift | imported from e621 (e621 cat 0)
holding_glass | imported from e621 (e621 cat 0)
holding_glowstick | imported from e621 (e621 cat 0)
holding_gohei | imported from e621 (e621 cat 0)
holding_guitar | imported from e621 (e621 cat 0)
holding_gun | imported from e621 (e621 cat 0)
holding_hair_dryer | imported from e621 (e621 cat 0)
holding_hammer | imported from e621 (e621 cat 0)
holding_handgun | imported from e621 (e621 cat 0)
holding_handheld_game_console | imported from e621 (e621 cat 0)
holding_hat | imported from e621 (e621 cat 0)
holding_head | imported from e621 (e621 cat 0)
holding_headgear | imported from e621 (e621 cat 0)
holding_headwear | imported from e621 (e621 cat 0)
holding_heart | imported from e621 (e621 cat 0)
holding_hips | imported from e621 (e621 cat 0)
holding_hose | imported from e621 (e621 cat 0)
holding_ice_cream | imported from e621 (e621 cat 0)
holding_ice_cream_cone | imported from e621 (e621 cat 0)
holding_instrument | imported from e621 (e621 cat 0)
holding_jacket | imported from e621 (e621 cat 0)
holding_jar | imported from e621 (e621 cat 0)
holding_jewelry | imported from e621 (e621 cat 0)
holding_key | imported from e621 (e621 cat 0)
holding_knife | imported from e621 (e621 cat 0)
holding_ladle | imported from e621 (e621 cat 0)
holding_lantern | imported from e621 (e621 cat 0)
holding_leaf | imported from e621 (e621 cat 0)
holding_legs | imported from e621 (e621 cat 0)
holding_legs_up | imported from e621 (e621 cat 0)
holding_letter | imported from e621 (e621 cat 0)
holding_lighter | imported from e621 (e621 cat 0)
holding_lipstick_tube | imported from e621 (e621 cat 0)
holding_lollipop | imported from e621 (e621 cat 0)
holding_mace | imported from e621 (e621 cat 0)
holding_magnifying_glass | imported from e621 (e621 cat 0)
holding_map | imported from e621 (e621 cat 0)
holding_marker | imported from e621 (e621 cat 0)
holding_mask | imported from e621 (e621 cat 0)
holding_megaphone | imported from e621 (e621 cat 0)
holding_melee_weapon | imported from e621 (e621 cat 0)
holding_menu | imported from e621 (e621 cat 0)
holding_milk_carton | imported from e621 (e621 cat 0)
holding_mini_person | imported from e621 (e621 cat 0)
holding_mirror | imported from e621 (e621 cat 0)
holding_money | imported from e621 (e621 cat 0)
holding_mop | imported from e621 (e621 cat 0)
holding_mug | imported from e621 (e621 cat 0)
holding_musical_instrument | imported from e621 (e621 cat 0)
holding_necklace | imported from e621 (e621 cat 0)
holding_needle | imported from e621 (e621 cat 0)
holding_newspaper | imported from e621 (e621 cat 0)
holding_notebook | imported from e621 (e621 cat 0)
holding_notepad | imported from e621 (e621 cat 0)
holding_object | imported from e621 (e621 cat 0)
holding_ofuda | imported from e621 (e621 cat 0)
holding_own_dress | imported from e621 (e621 cat 0)
holding_own_foot | imported from e621 (e621 cat 0)
holding_own_hair | imported from e621 (e621 cat 0)
holding_own_leg | imported from e621 (e621 cat 0)
holding_own_penis | imported from e621 (e621 cat 0)
holding_own_skirt | imported from e621 (e621 cat 0)
holding_own_tail | imported from e621 (e621 cat 0)
holding_paddle | imported from e621 (e621 cat 0)
holding_paint_palette | imported from e621 (e621 cat 0)
holding_paintbrush | imported from e621 (e621 cat 0)
holding_panties | imported from e621 (e621 cat 0)
holding_paper | imported from e621 (e621 cat 0)
holding_partner | imported from e621 (e621 cat 0)
holding_pastry_bag | imported from e621 (e621 cat 0)
holding_pen | imported from e621 (e621 cat 0)
holding_pencil | imported from e621 (e621 cat 0)
holding_phone | imported from e621 (e621 cat 0)
holding_photo | imported from e621 (e621 cat 0)
holding_pickaxe | imported from e621 (e621 cat 0)
holding_pillow | imported from e621 (e621 cat 0)
holding_pistol | imported from e621 (e621 cat 0)
holding_pizza | imported from e621 (e621 cat 0)
holding_plate | imported from e621 (e621 cat 0)
holding_plectrum | imported from e621 (e621 cat 0)
holding_plushie | imported from e621 (e621 cat 0)
holding_pocket_watch | imported from e621 (e621 cat 0)
holding_pocky | imported from e621 (e621 cat 0)
holding_pointer | imported from e621 (e621 cat 0)
holding_poke_ball | imported from e621 (e621 cat 0)
holding_pokeball | imported from e621 (e621 cat 0)
holding_pokemon | imported from e621 (e621 cat 0)
holding_pole | imported from e621 (e621 cat 0)
holding_polearm | imported from e621 (e621 cat 0)
holding_pom_poms | imported from e621 (e621 cat 0)
holding_popsicle | imported from e621 (e621 cat 0)
holding_quill | imported from e621 (e621 cat 0)
holding_ranged_weapon | imported from e621 (e621 cat 0)
holding_reins | imported from e621 (e621 cat 0)
holding_remote_control | imported from e621 (e621 cat 0)
holding_removed_eyewear | imported from e621 (e621 cat 0)
holding_ribbon | imported from e621 (e621 cat 0)
holding_rifle | imported from e621 (e621 cat 0)
holding_rope | imported from e621 (e621 cat 0)
holding_sack | imported from e621 (e621 cat 0)
holding_saucer | imported from e621 (e621 cat 0)
holding_scepter | imported from e621 (e621 cat 0)
holding_scissors | imported from e621 (e621 cat 0)
holding_scroll | imported from e621 (e621 cat 0)
holding_scythe | imported from e621 (e621 cat 0)
holding_sheath | imported from e621 (e621 cat 0)
holding_shield | imported from e621 (e621 cat 0)
holding_shirt | imported from e621 (e621 cat 0)
holding_shoes | imported from e621 (e621 cat 0)
holding_shovel | imported from e621 (e621 cat 0)
holding_sign | imported from e621 (e621 cat 0)
holding_sketchbook | imported from e621 (e621 cat 0)
holding_skewer | imported from e621 (e621 cat 0)
holding_skull | imported from e621 (e621 cat 0)
holding_smartphone | imported from e621 (e621 cat 0)
holding_smoking_pipe | imported from e621 (e621 cat 0)
holding_spatula | imported from e621 (e621 cat 0)
holding_spear | imported from e621 (e621 cat 0)
holding_spoon | imported from e621 (e621 cat 0)
holding_spring_onion | imported from e621 (e621 cat 0)
holding_staff | imported from e621 (e621 cat 0)
holding_stick | imported from e621 (e621 cat 0)
holding_stomach | imported from e621 (e621 cat 0)
holding_strap | imported from e621 (e621 cat 0)
holding_stuffed_toy | imported from e621 (e621 cat 0)
holding_stylus | imported from e621 (e621 cat 0)
holding_suitcase | imported from e621 (e621 cat 0)
holding_surfboard | imported from e621 (e621 cat 0)
holding_swim_ring | imported from e621 (e621 cat 0)
holding_swimsuit | imported from e621 (e621 cat 0)
holding_sword | imported from e621 (e621 cat 0)
holding_sword_behind_back | imported from e621 (e621 cat 0)
holding_syringe | imported from e621 (e621 cat 0)
holding_tablet_pc | imported from e621 (e621 cat 0)
holding_tail | imported from e621 (e621 cat 0)
holding_teapot | imported from e621 (e621 cat 0)
holding_test_tube | imported from e621 (e621 cat 0)
holding_thigh | imported from e621 (e621 cat 0)
holding_tool | imported from e621 (e621 cat 0)
holding_toothbrush | imported from e621 (e621 cat 0)
holding_torch | imported from e621 (e621 cat 0)
holding_towel | imported from e621 (e621 cat 0)
holding_toy | imported from e621 (e621 cat 0)
holding_tray | imported from e621 (e621 cat 0)
holding_umbrella | imported from e621 (e621 cat 0)
holding_underwear | imported from e621 (e621 cat 0)
holding_unworn_clothes | imported from e621 (e621 cat 0)
holding_unworn_hat | imported from e621 (e621 cat 0)
holding_unworn_helmet | imported from e621 (e621 cat 0)
holding_vegetable | imported from e621 (e621 cat 0)
holding_violin | imported from e621 (e621 cat 0)
holding_wand | imported from e621 (e621 cat 0)
holding_water_gun | imported from e621 (e621 cat 0)
holding_watering_can | imported from e621 (e621 cat 0)
holding_weapon | imported from e621 (e621 cat 0)
holding_weapon_behind_back | imported from e621 (e621 cat 0)
holding_whip | imported from e621 (e621 cat 0)
holding_whisk | imported from e621 (e621 cat 0)
holding_whistle | imported from e621 (e621 cat 0)
holding_with_feet | imported from e621 (e621 cat 0)
holding_with_tail | imported from e621 (e621 cat 0)
holding_wrench | imported from e621 (e621 cat 0)
holding_writing_utensil | imported from e621 (e621 cat 0)
hole_in_chest | imported from e621 (e621 cat 0)
hooded_coat | imported from e621 (e621 cat 0)
hooded_sweater | imported from e621 (e621 cat 0)
horizontal_cloaca | imported from e621 (e621 cat 0)
horn_accessory | imported from e621 (e621 cat 0)
horn_bow | imported from e621 (e621 cat 0)
horn_flower | imported from e621 (e621 cat 0)
horn_hairband | imported from e621 (e621 cat 0)
horn_jewelry | imported from e621 (e621 cat 0)
horn_ornament | imported from e621 (e621 cat 0)
horn_piercing | imported from e621 (e621 cat 0)
horn_ribbon | imported from e621 (e621 cat 0)
horn_ring | imported from e621 (e621 cat 0)
horned_hat | imported from e621 (e621 cat 0)
horned_headwear | imported from e621 (e621 cat 0)
horned_helmet | imported from e621 (e621 cat 0)
horned_humanoid | imported from e621 (e621 cat 5)
horned_mask | imported from e621 (e621 cat 0)
horned_owl | imported from e621 (e621 cat 0)
horns_through_headwear | imported from e621 (e621 cat 0)
horse_penis | imported from e621 (e621 cat 0)
horse_tail | imported from e621 (e621 cat 0)
hotel_transylvania | imported from e621 (e621 cat 3)
hourglass | imported from e621 (e621 cat 0)
hourglass_figure | imported from e621 (e621 cat 0)
how_to_train_your_dragon | imported from e621 (e621 cat 3)
huge_ahoge | imported from e621 (e621 cat 0)
huge_anus | imported from e621 (e621 cat 0)
huge_areola | imported from e621 (e621 cat 0)
huge_ass | imported from e621 (e621 cat 0)
huge_belly | imported from e621 (e621 cat 0)
huge_bow | imported from e621 (e621 cat 0)
huge_bulge | imported from e621 (e621 cat 0)
huge_diaper | imported from e621 (e621 cat 0)
huge_dildo | imported from e621 (e621 cat 0)
huge_ears | imported from e621 (e621 cat 0)
huge_eyebrows | imported from e621 (e621 cat 0)
huge_feet | imported from e621 (e621 cat 0)
huge_hips | imported from e621 (e621 cat 0)
huge_knot | imported from e621 (e621 cat 0)
huge_moobs | imported from e621 (e621 cat 0)
huge_moon | imported from e621 (e621 cat 0)
huge_muscles | imported from e621 (e621 cat 0)
huge_pecs | imported from e621 (e621 cat 0)
huge_sheath | imported from e621 (e621 cat 0)
huge_testicles | imported from e621 (e621 cat 0)
huge_thighs | imported from e621 (e621 cat 0)
huge_weapon | imported from e621 (e621 cat 0)
human_on_anthro | imported from e621 (e621 cat 0)
human_on_feral | imported from e621 (e621 cat 0)
human_to_anthro | imported from e621 (e621 cat 0)
human_to_feral | imported from e621 (e621 cat 0)
humanoid_genitalia_on_feral | imported from e621 (e621 cat 0)
humanoid_on_anthro | imported from e621 (e621 cat 0)
humanoid_on_feral | imported from e621 (e621 cat 0)
humanoid_penis_on_feral | imported from e621 (e621 cat 0)
humanoid_robot | imported from e621 (e621 cat 0)
humanoid_vulva | imported from e621 (e621 cat 0)
humanoid_vulva_on_feral | imported from e621 (e621 cat 0)
hybrid_genitalia | imported from e621 (e621 cat 0)
hybrid_pokemon | imported from e621 (e621 cat 5)
hyper_hips | imported from e621 (e621 cat 0)
hyper_muscles | imported from e621 (e621 cat 0)
hyper_thighs | imported from e621 (e621 cat 0)
hyper_vulva | imported from e621 (e621 cat 0)
i_mean_breast_milk | imported from e621 (e621 cat 3)
ice_cube | imported from e621 (e621 cat 0)
ice_wings | imported from e621 (e621 cat 0)
idolmaster_(classic) | imported from e621 (e621 cat 3)
idolmaster_shiny_colors | imported from e621 (e621 cat 3)
ijiranaide_nagatoro-san | imported from e621 (e621 cat 3)
implied_pregnancy | imported from e621 (e621 cat 0)
impregnation_request | imported from e621 (e621 cat 0)
impregnation_risk | imported from e621 (e621 cat 0)
inconvenient_breasts | imported from e621 (e621 cat 0)
incredibly_absurdres | imported from e621 (e621 cat 5)
ineffective_censorship | imported from e621 (e621 cat 0)
infinite_cum | imported from e621 (e621 cat 0)
infinite_genital_fluids | imported from e621 (e621 cat 0)
innie_vulva | imported from e621 (e621 cat 0)
insect_humanoid | imported from e621 (e621 cat 5)
insectophilia | imported from e621 (e621 cat 0)
inside_balls | imported from e621 (e621 cat 0)
inside_clothing | imported from e621 (e621 cat 0)
intraspecies | imported from e621 (e621 cat 0)
intraspecies_bestiality | imported from e621 (e621 cat 0)
invisible_penis | imported from e621 (e621 cat 0)
jaguar_tail | imported from e621 (e621 cat 0)
japanese_clothing | imported from e621 (e621 cat 0)
jellyfish_cut | imported from e621 (e621 cat 0)
jewel_buttplug | imported from e621 (e621 cat 0)
jurassic_park | imported from e621 (e621 cat 3)
jurassic_world | imported from e621 (e621 cat 3)
kanshou_&_bakuya_(fate) | imported from e621 (e621 cat 0)
kass_(tloz) | imported from e621 (e621 cat 11)
katia_managan | imported from e621 (e621 cat 11)
keyhole_clothing | imported from e621 (e621 cat 0)
kiss_mark_on_balls | imported from e621 (e621 cat 0)
knees_to_chest | imported from e621 (e621 cat 0)
knife_sheath | imported from e621 (e621 cat 0)
knot_in_sheath | imported from e621 (e621 cat 0)
knot_root | imported from e621 (e621 cat 0)
knot_sitting | imported from e621 (e621 cat 0)
knotted_equine_penis | imported from e621 (e621 cat 0)
knotted_humanoid_penis | imported from e621 (e621 cat 0)
kobayashi-san_chi_no_maidragon | imported from e621 (e621 cat 3)
lab_coat | imported from e621 (e621 cat 0)
laboratory_glassware | imported from e621 (e621 cat 0)
lace-trimmed_thighhighs | imported from e621 (e621 cat 0)
lactating_through_clothing | imported from e621 (e621 cat 0)
lactation_through_clothes | imported from e621 (e621 cat 0)
large_areolae | imported from e621 (e621 cat 0)
large_bow | imported from e621 (e621 cat 0)
large_ears | imported from e621 (e621 cat 0)
large_group | imported from e621 (e621 cat 0)
large_hands | imported from e621 (e621 cat 0)
large_hat | imported from e621 (e621 cat 0)
large_horns | imported from e621 (e621 cat 0)
large_insertion | imported from e621 (e621 cat 0)
large_nose | imported from e621 (e621 cat 0)
large_penis | imported from e621 (e621 cat 0)
large_tail | imported from e621 (e621 cat 0)
large_testicles | imported from e621 (e621 cat 0)
large_variant_set | imported from e621 (e621 cat 5)
larger_ambiguous | imported from e621 (e621 cat 0)
larger_anthro | imported from e621 (e621 cat 0)
larger_female | imported from e621 (e621 cat 0)
larger_feral | imported from e621 (e621 cat 0)
larger_gynomorph | imported from e621 (e621 cat 0)
larger_human | imported from e621 (e621 cat 0)
larger_humanoid | imported from e621 (e621 cat 0)
larger_male | imported from e621 (e621 cat 0)
larger_on_top | imported from e621 (e621 cat 0)
larger_penetrated | imported from e621 (e621 cat 0)
larger_pred | imported from e621 (e621 cat 0)
lasso | imported from e621 (e621 cat 0)
latex_skinsuit | imported from e621 (e621 cat 0)
